#tipo;frente;verso;contexto;tags
Basic;"Qual é o valor do Auxílio-Inclusão previsto na LOAS?";"50% do valor do BPC";"Art. 26-B da Lei 8.742/1993. Atualmente equivale a meio salário-mínimo.";loas;auxilio-inclusao
Basic;"O beneficiário de BPC que começa a trabalhar formalmente pode acumular o salário com o BPC?";"Não";"O BPC é suspenso imediatamente (Art. 21-A da LOAS). Mariana deve migrar para o Auxílio-Inclusão.";loas;bpc;auxilio-inclusao
Basic;"Qual é a renda máxima permitida no emprego para ter direito ao Auxílio-Inclusão?";"Até 2 salários-mínimos";"Art. 26-A, I, 'a' da LOAS. Acima disso, perde-se o direito de migração preventiva.";loas;auxilio-inclusao
Basic;"O pagamento do Auxílio-Inclusão pode ser acumulado com o seguro-desemprego?";"Não";"Art. 26-C, III da LOAS. Também é vedada a cumulação com BPC, aposentadorias ou pensões.";loas;auxilio-inclusao
Basic;"Se o beneficiário perder o emprego que gerou o Auxílio-Inclusão, o que ocorre com o BPC original?";"É restabelecido sem nova perícia";"Art. 21-A, § 1º da LOAS. Restabelecimento célere desde que mantida a condição de deficiência e CadÚnico.";loas;bpc;auxilio-inclusao
Basic;"Qual é o limite de renda familiar mensal per capita padrão para ter direito ao BPC?";"Igual ou inferior a 1/4 do salário-mínimo";"Art. 20, § 3º da LOAS. Lembre que o STF considera este critério objetivo mitigável na análise de vulnerabilidade.";loas;bpc
Cloze;"O BPC destina-se a pessoas com deficiência ou idosos com {{c1::65}} anos ou mais que não tenham meios de subsistência.";"";"Art. 20, caput da LOAS. Cuidado com pegadinhas: o Estatuto do Idoso é 60+, mas para o BPC a idade mínima é 65.";loas;bpc
Cloze;"Segundo a NOB/SUAS 2012, os princípios organizativos são universalidade, gratuidade, integralidade, intersetorialidade e {{c1::equidade}}.";"";"Pegadinha clássica da Quadrix: a banca costuma trocar 'equidade' por 'igualdade'. Fixe a equidade.";suas;nob-suas
Basic;"Em qual equipamento do SUAS é obrigatoriamente ofertado o PAIF?";"CRAS";"O Serviço de Proteção e Atendimento Integral à Família (PAIF) é o carro-chefe preventivo do CRAS.";suas;psb
Basic;"A qual nível de proteção pertence o Serviço Especializado em Abordagem Social?";"Proteção Especial de Média Complexidade";"Equipe que atua no território abordando pessoas em situação de rua, sem que haja o rompimento definitivo de vínculos.";suas;pse;abordagem-social
Permanence;"Por que uma agressão física sofrida por mulher que configure lesão corporal entra na violência física da Lei Maria da Penha?";"Porque ofende a integridade ou saúde corporal";"Art. 7º, I da Lei 11.340/2006. Difere da violência psicológica (dano emocional) e moral (honra).";maria-da-penha
