#tipo;frente;verso;contexto;tags
Basic;"[Engasgo] Quando usar tapotagem vs compressao abdominal?";"Tapotagem = vitima CALMA e nao sufocando. Compressao = vitima SUFOCANDO/cianotica";"Mnemonico: 'Calmo tapa, roxo aperta'. A tapotagem sao pancadas com mao em concha entre as escapulas. Se a vitima esta cianotica, pule direto para compressao abdominal (Heimlich).";primeiros-socorros,engasgo
Basic;"[Convulsao] E permitido colocar algo na boca da vitima?";"Objeto rigido = PROIBIDO. Pano ou lenco macio enrolado = PERMITIDO";"O risco de morder a lingua existe. A proibicao e de objetos rigidos (colher, caneta) que podem quebrar dentes ou virar corpo estranho. O manual recomenda tentar introduzir pano/lenco para evitar mordedura.";primeiros-socorros,convulsao
Basic;"[Queimadura] Qual a temperatura e duracao maxima da lavagem?";"Agua em temperatura AMBIENTE por no maximo 1 MINUTO";"Nao e agua fria nem gelada. Gelo causa vasoconstrição. Tempo prolongado causa hipotermia. Mnemonico: '1 minuto ambiente — mais que isso congela'.";primeiros-socorros,queimadura
Basic;"[Queimadura] Cite 5 substancias proibidas em queimaduras";"1) Creme dental 2) Manteiga 3) Margarina 4) Graxa 5) Pomadas/cremes/unguentos de qualquer tipo";"O manual proibe qualquer medicamento topico. Inclui habitos populares prejudiciais. Regra: nada alem de agua ambiente e cobertura limpa.";primeiros-socorros,queimadura
Cloze;"Na RCR com 1 socorrista a proporcao e de {{c1::15}} compressoes para {{c2::2}} respiracoes";"";"Com 2 socorristas: 5 compressoes para 1 respiracao. Sempre iniciar com 4 respiracoes antes do ciclo. Mnemonico: '15-2 sozinho, 5-1 em dupla'.";primeiros-socorros,pcr,
Cloze;"A massagem cardiaca deve comprimir o esterno de {{c1::3,8}} a {{c2::5}} centimetros de profundidade";"";"Maos sobrepostas na metade INFERIOR do esterno (nunca no apendice xifoide). Bracos em hiperextensao, usando o peso do corpo. Manter por meio segundo.";primeiros-socorros,pcr,
Basic;"[PCR] Qual o sinal MAIS IMPORTANTE para diagnosticar parada cardiorrespiratoria?";"Ausencia de pulso na arteria CAROTIDA";"A midriase (pupilas dilatadas) e sinal TARDIO — comeca apos 45s e completa em 1min45s. O manual diz: nao espere pela midriase para iniciar RCR.";primeiros-socorros,pcr,
Basic;"[Hemorragia] Como diferenciar hemorragia arterial de venosa?";"Arterial = vermelho VIVO em jatos PULSATEIS. Venosa = escuro, continuo e lento";"Arterial e mais grave — pode matar em menos de 5 minutos. Ordem de controle: compressao direta > elevacao > ponto de pressao > torniquete (ultimo recurso).";primeiros-socorros,hemorragia,
Basic;"[Choque] Quando NAO elevar os membros inferiores da vitima?";"1) Fraturas nos membros inferiores 2) Ferimento na cabeca 3) Ferimento no torax";"A elevacao padrao e de 30 cm para melhorar retorno sanguineo e oxigenacao cerebral. Mas essas 3 contraindicacoes sao absolutas.";primeiros-socorros,choque,
Permanence;"Por que nunca se deve dar agua a uma vitima inconsciente?";"Risco de broncoaspiracao e morte — vitima inconsciente nao tem reflexo de degluticao";"O manual diz literalmente: 'pode ocasionar-lhe a morte'. Se consciente e com sede, dar agua lentamente com sal (1 colher de cafe para meio litro).";primeiros-socorros,choque,
Basic;"[Convulsao] O que fazer se a vitima quer dormir apos a crise?";"DEIXAR dormir na Posicao Lateral de Seguranca (PLS)";"O sono pos-convulsao e fisiologico — o cerebro precisa se recuperar. Nao impedir. Colocar em PLS e inspecionar ferimentos.";primeiros-socorros,convulsao,
Basic;"[Torniquete] De quanto em quanto tempo afrouxar o torniquete?";"A cada 10 a 15 minutos";"Torniquete e ULTIMO recurso. Indicado apenas para: esmagamento mutilador ou amputacao traumatica. Uso prolongado causa deficiencia circulatoria. Proibido usar fio, arame, barbante ou material fino/sintetico.";primeiros-socorros,hemorragia,
